config_id,run,seed,cpu_time,objective_value,final_cost,penalty,num_vehicles,total_distance,converged_at,population_size,generations,mutation_rate,tournament_k
22,2,123,7.730795383453369,21522909.870000005,21522909.870000005,0,10,1039.7541,100,100,100,0.1,3
22,3,7890,7.473580360412598,22185311.939999998,22185311.939999998,0,11,1071.7542,100,100,100,0.1,3
23,1,42,11.263753890991211,22241603.52,22241603.52,0,11,1074.4736,100,100,100,0.1,5
23,2,123,11.136168718338013,22952431.169999998,22952431.169999998,0,11,1108.8131,100,100,100,0.1,5
23,3,7890,10.447166681289673,23604474.959999997,23604474.959999997,0,11,1140.3128,100,100,100,0.1,5
24,1,42,14.208868265151978,22210789.5,22210789.5,0,11,1072.985,100,100,100,0.1,7
24,2,123,14.246922969818115,23093321.58,23093321.58,0,11,1115.6194,100,100,100,0.1,7
24,3,7890,14.102901220321655,22376174.22,22376174.22,0,11,1080.9746,100,100,100,0.1,7
25,1,42,7.705843448638916,22604871.96,22604871.96,0,10,1092.0228,100,100,100,0.15,3
25,2,123,7.368630886077881,25021942.65,25021942.65,0,11,1208.7895,100,100,100,0.15,3
25,3,7890,8.030255317687988,21621029.939999998,21621029.939999998,0,10,1044.4942,100,100,100,0.15,3
26,1,42,11.165355682373047,22710725.55,22710725.55,0,11,1097.1365,100,100,100,0.15,5
26,2,123,10.713308572769165,21618585.270000003,21618585.270000003,0,10,1044.3761,100,100,100,0.15,5
26,3,7890,11.360659122467041,21331122.3,21331122.3,0,10,1030.489,100,100,100,0.15,5
27,1,42,14.426424980163574,21622785.3,21622785.3,0,11,1044.579,100,100,100,0.15,7
27,2,123,15.90134334564209,22382750.610000003,22382750.610000003,0,11,1081.2923,100,100,100,0.15,7
27,3,7890,14.913200616836548,22946575.14,22946575.14,0,11,1108.5302000000001,100,100,100,0.15,7
28,1,42,15.224869966506958,22675823.28,22675823.28,0,11,1095.4504,200,100,200,0.05,3
28,2,123,14.918310165405273,23108832.09,23108832.09,0,11,1116.3687,200,100,200,0.05,3
28,3,7890,14.489241123199463,22021461.09,22021461.09,0,11,1063.8387,200,100,200,0.05,3
29,1,42,21.448225259780884,22739270.849999998,22739270.849999998,0,11,1098.5155,200,100,200,0.05,5
29,2,123,22.569000482559204,22006697.849999998,22006697.849999998,0,11,1063.1255,200,100,200,0.05,5
29,3,7890,20.512794733047485,22488076.35,22488076.35,0,11,1086.3805,200,100,200,0.05,5
30,1,42,30.412319898605347,22705271.100000005,22705271.100000005,0,11,1096.873,200,100,200,0.05,7
30,2,123,28.91557478904724,22591721.250000004,22591721.250000004,0,11,1091.3875,200,100,200,0.05,7
30,3,7890,30.355689764022827,21050879.49,21050879.49,0,11,1016.9507,200,100,200,0.05,7
31,1,42,23.356199979782104,21004962.75,21004962.75,0,11,1014.7325,200,100,200,0.1,3
31,2,123,19.419217348098755,19311829.020000003,19311829.020000003,0,10,932.9386,200,100,200,0.1,3
31,3,7890,26.421648740768433,20572055.37,20572055.37,0,11,993.8191,200,100,200,0.1,3
32,1,42,31.784607410430908,20064565.89,20064565.89,0,11,969.3027,200,100,200,0.1,5
32,2,123,27.365886211395264,21114879.75,21114879.75,0,11,1020.0425,200,100,200,0.1,5
32,3,7890,25.66116499900818,21256289.73,21256289.73,0,11,1026.8739,200,100,200,0.1,5
33,1,42,51.628265619277954,21185520.569999997,21185520.569999997,0,11,1023.4551,200,100,200,0.1,7
33,2,123,34.7196319103241,21992495.58,21992495.58,0,11,1062.4394,200,100,200,0.1,7
33,3,7890,36.5717248916626,20887674.479999997,20887674.479999997,0,11,1009.0664,200,100,200,0.1,7
34,1,42,24.51439142227173,20208671.009999998,20208671.009999998,0,10,976.2643,200,100,200,0.15,3
34,2,123,21.488247632980347,20704148.279999997,20704148.279999997,0,10,1000.2004,200,100,200,0.15,3
34,3,7890,21.89598560333252,18923571.54,18923571.54,0,10,914.1822,200,100,200,0.15,3
35,1,42,32.31918215751648,20876628.96,20876628.96,0,11,1008.5328,200,100,200,0.15,5
35,2,123,30.984574556350708,19135997.009999998,19135997.009999998,0,10,924.4443,200,100,200,0.15,5
35,3,7890,36.524903297424316,19168860.330000002,19168860.330000002,0,10,926.0319,200,100,200,0.15,5
36,1,42,40.17368245124817,18825995.879999995,18825995.879999995,0,10,909.4684,200,100,200,0.15,7
36,2,123,42.22189927101135,21120460.470000003,21120460.470000003,0,11,1020.3121,200,100,200,0.15,7
