config_id,mean_obj,std_obj,min_obj,max_obj,mean_time,mean_vehicles,mean_distance,mean_memory_increase,mean_best_iter_memory,mean_load_balance_cv,mean_load_balance_std,mean_load_balance_range,population_size,generations,mutation_rate,tournament_k
18,2136310.3800000004,99002.13622525676,2079151.4700000002,2250628.2,0.7866583665211996,1.0,103.20339999999999,0.0,0.0401734375,0.0,0.0,0.0,50,200,0.15,7
19,2230195.92,95210.12424536764,2124124.29,2308263.21,0.42085711161295575,1.0,107.73893333333335,0.0,0.0401734375,0.0,0.0,0.0,100,100,0.05,3
20,2151301.3200000003,88910.12570336898,2079151.4700000002,2250628.2,0.6049837271372477,1.0,103.9276,0.0,0.0401734375,0.0,0.0,0.0,100,100,0.05,5
21,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,0.7832199732462565,1.0,103.32533333333333,0.0,0.0401734375,0.0,0.0,0.0,100,100,0.05,7
22,2151301.3200000003,88910.12570336898,2079151.4700000002,2250628.2,0.4290636380513509,1.0,103.9276,0.0,0.0401734375,0.0,0.0,0.0,100,100,0.1,3
23,2107879.6200000006,49758.61540745992,2079151.4700000002,2165335.9200000004,0.6257655620574951,1.0,101.82993333333333,0.0,0.0401734375,0.0,0.0,0.0,100,100,0.1,5
24,2079151.47,0.0,2079151.4700000002,2079151.4700000002,0.7979725996653239,1.0,100.4421,0.0,0.0401734375,0.0,0.0,0.0,100,100,0.1,7
25,2273990.22,40464.20560744023,2250628.2,2320714.2600000002,0.4271543820699056,1.0,109.8546,0.0,0.0401734375,0.0,0.0,0.0,100,100,0.15,3
26,2136310.3800000004,99002.13622525656,2079151.4700000002,2250628.2,0.6083552042643229,1.0,103.20339999999999,0.0,0.0401734375,0.0,0.0,0.0,100,100,0.15,5
27,2265831.66,20134.7248944599,2250628.2,2288666.5199999996,0.794774611790975,1.0,109.46046666666666,0.0,0.0401734375,0.0,0.0,0.0,100,100,0.15,7
